benchmark,covered,not_covered,edges,total
vorbis-2017-12-11,aflplusplus_ast_opt_l1,aflplusplus_ast_o3,6,2286
vorbis-2017-12-11,aflplusplus_ast_opt_l1,aflplusplus_ast_o3_native,11,2286
vorbis-2017-12-11,aflplusplus_ast_opt_l1,aflplusplus_ast_opt_disable,2,2286
vorbis-2017-12-11,aflplusplus_ast_opt_l1,aflplusplus_ast_opt_l1,0,2286
vorbis-2017-12-11,aflplusplus_ast_opt_l1,aflplusplus_ast_o3_lto,14,2286
vorbis-2017-12-11,aflplusplus_ast_opt_l1,afl_from_input_seed,17,2286
freetype2-2017,aflplusplus_ast_o3_native,aflplusplus_ast_f0,177,17493
freetype2-2017,aflplusplus_ast_o3_native,aflplusplus_ast_f1,64,17493
freetype2-2017,aflplusplus_ast_o3_native,aflplusplus_ast_o0,178,17493
freetype2-2017,aflplusplus_ast_o3_native,aflplusplus_ast_o1,106,17493
freetype2-2017,aflplusplus_ast_o3_native,aflplusplus_ast_o2,106,17493
freetype2-2017,aflplusplus_ast_o3_native,aflplusplus_ast_o3,156,17493
freetype2-2017,aflplusplus_ast_o3_native,aflplusplus_ast_o3_native,0,17493
freetype2-2017,aflplusplus_ast_o3_native,aflplusplus_ast_opt_disable,1697,17493
freetype2-2017,aflplusplus_ast_o3_native,aflplusplus_ast_opt_l1,1666,17493
freetype2-2017,aflplusplus_ast_o3_native,afl_from_input_seed,138,17493
freetype2-2017,aflplusplus_ast_opt_disable,aflplusplus_ast_f0,109,16211
freetype2-2017,aflplusplus_ast_opt_disable,aflplusplus_ast_f1,124,16211
freetype2-2017,aflplusplus_ast_opt_disable,aflplusplus_ast_o0,89,16211
freetype2-2017,aflplusplus_ast_opt_disable,aflplusplus_ast_o1,101,16211
freetype2-2017,aflplusplus_ast_opt_disable,aflplusplus_ast_o2,79,16211
freetype2-2017,aflplusplus_ast_opt_disable,aflplusplus_ast_o3,66,16211
freetype2-2017,aflplusplus_ast_opt_disable,aflplusplus_ast_o3_native,415,16211
freetype2-2017,aflplusplus_ast_opt_disable,aflplusplus_ast_opt_disable,0,16211
freetype2-2017,aflplusplus_ast_opt_disable,aflplusplus_ast_opt_l1,219,16211
freetype2-2017,aflplusplus_ast_opt_disable,afl_from_input_seed,183,16211
freetype2-2017,aflplusplus_ast_opt_l1,aflplusplus_ast_f0,180,16336
freetype2-2017,aflplusplus_ast_opt_l1,aflplusplus_ast_f1,290,16336
freetype2-2017,aflplusplus_ast_opt_l1,aflplusplus_ast_o0,239,16336
freetype2-2017,aflplusplus_ast_opt_l1,aflplusplus_ast_o1,170,16336
freetype2-2017,aflplusplus_ast_opt_l1,aflplusplus_ast_o2,132,16336
freetype2-2017,aflplusplus_ast_opt_l1,aflplusplus_ast_o3,136,16336
freetype2-2017,aflplusplus_ast_opt_l1,aflplusplus_ast_o3_native,509,16336
freetype2-2017,aflplusplus_ast_opt_l1,aflplusplus_ast_opt_disable,344,16336
freetype2-2017,aflplusplus_ast_opt_l1,aflplusplus_ast_opt_l1,0,16336
freetype2-2017,aflplusplus_ast_opt_l1,afl_from_input_seed,213,16336
vorbis-2017-12-11,aflplusplus_ast_o3_lto,aflplusplus_ast_f0,2,2276
vorbis-2017-12-11,aflplusplus_ast_o3_lto,aflplusplus_ast_f1,2,2276
vorbis-2017-12-11,aflplusplus_ast_o3_lto,aflplusplus_ast_o0,0,2276
vorbis-2017-12-11,aflplusplus_ast_o3_lto,aflplusplus_ast_o1,2,2276
